Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
42.46,0.0439731928300197,0.06307382122688764,-0.1348860631560918,-0.08454158159368438
42.47,0.0439983385480981,0.06212522245033489,-0.1342715344048634,-0.07990485230778506
42.48,0.0439010194060873,0.06253291071305438,-0.1337585699255115,-0.08003644992948875
42.49,0.0436146952593559,0.06414088883463313,-0.1329000330725712,-0.08449850147429205
42.5,0.0436502411019088,0.06794472910595906,-0.1324005849102942,-0.09443866194028269
42.51,0.0437125762669597,0.07451355916825561,-0.1319995278191124,-0.10828315555303274
42.52,0.0434276038626064,0.08054411994652563,-0.1308497639249342,-0.12009089866821186
42.53,0.0443004646257408,0.07909224608539761,-0.1295321367252903,-0.1147127493083224
42.54,0.0442362348510529,0.07742032397548518,-0.1286825244391655,-0.11021786074244067
42.55,0.0442078536644832,0.07600464903353898,-0.1279503057806816,-0.10719420200877938
42.56,0.0441399701948695,0.07434338156559597,-0.1271025410789715,-0.10441897820261825
42.57,0.0442781303537181,0.07332319506316501,-0.1264894171488393,-0.10362982214713265
42.58,0.0442500118703455,0.07225282553889187,-0.1258207089650145,-0.10333063823346238
42.59,0.0441949572435824,0.07135657787170507,-0.1251261988351118,-0.1034239034234718
42.6,0.0443927931110728,0.07051522083496264,-0.1243930859739441,-0.1034028531513102
42.61,0.0443118162293681,0.06980029007851779,-0.1234259290918256,-0.10330781472306823
42.62,0.04442405493379,0.06905183626634373,-0.1227167924231748,-0.10284192150533254
42.63,0.0444825897321092,0.06906429923058466,-0.1219737513576216,-0.10337549899999007
42.64,0.0445507371792129,0.07060380423549562,-0.1213896068138842,-0.10656729869246462
42.65,0.0445511049542468,0.07396016044620002,-0.1210407362132982,-0.11293947519865952
42.66,0.044600794702451,0.07895700134006373,-0.1205151198599229,-0.12158750923370172
42.67,0.0447670629325283,0.08206783085472141,-0.1196539212444145,-0.1276614644765919
42.68,0.0449699997791154,0.08292419374827473,-0.1187866073001545,-0.1296466141828206
42.69,0.0448694043828453,0.0823032529850577,-0.1180135566786258,-0.12848375049492858
42.7,0.0449696995550208,0.08150927866883645,-0.117418350482197,-0.12633871010933373
42.71,0.0451089905288784,0.07996171277119324,-0.1167414544764789,-0.12284184735347467
42.72,0.0454234316620987,0.07771982724250334,-0.116014565461902,-0.1177935099501857
42.73,0.045475338022769,0.07569548263748507,-0.1153810349552423,-0.11267940088342074
42.74,0.0455658967870693,0.07387620444154758,-0.1147728826792991,-0.10751989387100994
42.75,0.0459353935089413,0.07028106064252276,-0.1136662830256744,-0.10136055814324794
42.76,0.0462406207813934,0.06658203980869258,-0.1128611888232494,-0.09622717912130849
42.77,0.0462364149262114,0.06442778544446492,-0.1121760532820877,-0.09342135848766744
42.78,0.0463040883553302,0.06463382145802499,-0.1115461107231644,-0.0942164679809572
42.79,0.0463804623234632,0.06656356249448547,-0.1110896696044561,-0.09723549415837862
42.8,0.0466799117371562,0.07159285009750571,-0.1107560451590013,-0.10497935981624089
42.81,0.0468043596107554,0.0772590911966054,-0.1101841767307115,-0.11385949858096647
42.82,0.0468759755325629,0.08271931578706992,-0.109662251020985,-0.12251896132958713
42.83,0.0470680138596162,0.08382369840263024,-0.1085678395233857,-0.12463710825627566
42.84,0.0472964712474071,0.08168730816246036,-0.1076012565065927,-0.12175725534697615
42.85,0.0475750517288258,0.07744279687516678,-0.1068648160036723,-0.11572225892347301
42.86,0.0479635387140125,0.07654516522801133,-0.1066158217410533,-0.11486591202333592
42.87,0.0483252633533447,0.07577525521719497,-0.1061025253658934,-0.11433199822561244
42.88,0.04837390264108,0.07512723328175341,-0.1055022575685447,-0.11324627556992031
42.89,0.0484705684011024,0.07454482522543487,-0.1049322423906231,-0.11170795085091766
42.9,0.0486855310841735,0.07360342971766867,-0.1042832875785347,-0.10951376521614256
42.91,0.0487676787987516,0.07247732556753483,-0.1035928996957793,-0.10710322654418741
42.92,0.0490389440089075,0.07131003781047617,-0.1029474589976715,-0.10455423060866509
42.93,0.0492414797226986,0.0701612085339208,-0.102173636499857,-0.10231447602051423
42.94,0.0494648783958705,0.06935897875497274,-0.1016664682099675,-0.10079535567685316
42.95,0.0495882073909678,0.06880656664465201,-0.1010036228286921,-0.09985320036688075
42.96,0.0496283274669574,0.06861332092544516,-0.1003052770429271,-0.0995376089902201
42.97,0.0497224089716527,0.06897578928364664,-0.099757820403506,-0.10001467682015139
42.98,0.0498914231530693,0.06940842940645825,-0.0991364161699362,-0.10081493198080319
42.99,0.0501445781864309,0.06995945303593815,-0.0985257865065301,-0.10230002117513026
43.0,0.0503159344661247,0.07016902133678748,-0.0978634694746796,-0.10353534081684267
43.01,0.0503331497409828,0.07015609900005601,-0.0971745934886508,-0.1045162531171082
43.02,0.05037381947421,0.07021793476064161,-0.0966431532126999,-0.10554324251793533
43.03,0.0505364183213501,0.0697055039137728,-0.0959691701887818,-0.10550376708384371
43.04,0.0505891411388107,0.06915571711811949,-0.0952224208537623,-0.10528345472367925
43.05,0.0507382394834073,0.06838753882120775,-0.094719230315036,-0.10433001005039383
43.06,0.0509385588638668,0.06715856169684001,-0.0940287367250264,-0.10240776779975286
43.07,0.0509232221361806,0.0665222734868442,-0.0934771461156883,-0.10133732998849923
43.08,0.0510039958991518,0.06571956628783668,-0.0928153304260907,-0.09990399731291524
43.09,0.050957053722755,0.06813356936279216,-0.0926157020694057,-0.10217333335181986
43.1,0.0509829142441094,0.06920834899677972,-0.0918372369869887,-0.1026049471499356
43.11,0.051184346377098,0.06962358310883873,-0.0912877028520007,-0.10233230352461006
43.12,0.0511886963149499,0.07004042764639994,-0.0907469141312493,-0.10212316090990364
43.13,0.0511852435932383,0.07012047757427578,-0.090206092255606,-0.10197579972523027
43.14,0.0511713818877455,0.06994700950411907,-0.0895919524613406,-0.10182753485221921
43.15,0.0512049793220481,0.06905305860582621,-0.088987870253294,-0.1009631649925399
43.16,0.0511811818769027,0.0675647228031884,-0.088408196025011,-0.09932139243628985
43.17,0.0512772365566727,0.06627689307461543,-0.0878213892883223,-0.09812723583759082
